id;izvori_saznanja;naziv_teme;pocetna_ideja;datum_pocetka;nacin_ucesca_vaspitaca;materijali;ucesce_porodice;mesta;datum_zavrsetka
1;Generic Car;primary Chicken;Vanuatu invoice optical;2022-07-14;Pizza Assistant;deposit Qatar;Sausages;Cotton;2022-07-15
2;synthesize Car;Kentucky;relationships withdrawal Tasty;2022-07-14;zero Bacon XML;Card;Soft web;Forward Divide deposit;2022-07-15
3;B2B Hat Global;Arabia Cambridgeshire bus;Customer group Alaska;2022-07-15;reboot Borders;Ball Pennsylvania;Vermont;Lithuania;2022-07-14
4;Ghana;Small Handmade;Sausages software Gorgeous;2022-07-15;plum users application;Jewelery;Chicken withdrawal;withdrawal blockchains support;2022-07-14
5;Jewelery;Account;bus;2022-07-14;Forks;Dong;green Pizza;deposit Factors;2022-07-14
6;Bedfordshire;neural;incentivize;2022-07-14;Markets Lead Account;Bedfordshire engineer;Jersey Bosnia copying;Cape Cheese;2022-07-15
7;Bermuda;visualize;white;2022-07-14;Configuration task-force;unleash XML;optical synthesizing;Assistant;2022-07-15
8;orchid Metal Electronics;quantifying Inlet THX;Assurance;2022-07-14;Lakes AI;Future Officer enterprise;Auto Marino generating;next COM Lesotho;2022-07-14
9;Chicken withdrawal;zero Frozen;navigate Glen hard;2022-07-15;Ukraine JBOD Response;overriding Mobility;Market;monitoring recontextualize;2022-07-14
10;up XSS Architect;mobile calculating;Director homogeneous;2022-07-14;bifurcated circuit Awesome;Dynamic Markets Human;implement Sausages Movies;metrics;2022-07-14
