id;interesovanja;prednosti;mane;predlozi;datum
1;Handmade bypass Plastic;structure;frictionless supply-chains invoice;alarm neural-net Steel;2022-07-14
2;bus Metal Monitored;Developer Producer Accounts;Manager applications Ranch;Pizza calculate;2022-07-14
3;cohesive Kwacha;asynchronous Granite navigating;parsing Books;Liaison systematic back;2022-07-15
4;black Account;Frozen black;indigo firewall;panel protocol parsing;2022-07-14
5;disintermediate wireless project;orchid;indigo Tonga;black transmitting black;2022-07-15
6;Outdoors;Open-source Wooden invoice;Mouse orange Gorgeous;JSON conglomeration;2022-07-14
7;Niue Passage;program;Synergistic client-driven Concrete;Gorgeous back;2022-07-15
8;invoice Utah;Future Branding Bacon;compress Turkish Practical;Refined;2022-07-14
9;user-facing;Customer Island Loti;River South;Steel;2022-07-14
10;PNG withdrawal;Account Salad;Hawaii quantify;synthesizing;2022-07-14
